accuracy,precision,recall,f1 normal,f1 target,mcc
0.036011080332409975,1.0,0.036011080332409975,0.0,0.06951871657754011,0.0
0.024930747922437674,1.0,0.024930747922437674,0.0,0.04864864864864865,0.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9861111111111112,1.0,0.8780487804878049,0.9922239502332815,0.9350649350649352,0.9297841926955146
0.9833795013850416,0.875,0.7777777777777778,0.991279069767442,0.823529411764706,0.8163965985079272
0.9277777777777778,0.7666666666666667,0.5476190476190477,0.9598765432098766,0.6388888888888888,0.610493872966129
0.9083333333333333,0.9444444444444444,0.5230769230769231,0.9466882067851374,0.6732673267326732,0.6619782992846089
0.9141274238227147,0.4444444444444444,0.42857142857142855,0.9535232383808094,0.43636363636363634,0.38997903673099804
0.889196675900277,0.9803921568627451,0.5617977528089888,0.9312714776632302,0.7142857142857143,0.690624695172109
0.8199445983379502,0.9705882352941176,0.3402061855670103,0.8900169204737733,0.5038167938931297,0.5105686167084027
