accuracy,precision,recall,f1 normal,f1 target,mcc
0.04155124653739612,1.0,0.04155124653739612,0.0,0.07978723404255318,0.0
0.036011080332409975,1.0,0.036011080332409975,0.0,0.06951871657754011,0.0
0.9916897506925207,0.967741935483871,1.0,0.9944341372912803,0.9836065573770492,0.9782785519104265
0.9833333333333333,0.972972972972973,0.8780487804878049,0.9906542056074766,0.923076923076923,0.9152726917281109
0.9695290858725761,0.6666666666666666,0.7777777777777778,0.9838945827232797,0.717948717948718,0.7042746946914091
0.9194444444444444,0.696969696969697,0.5476190476190477,0.9550387596899225,0.6133333333333334,0.5742516181102055
0.9027777777777778,0.8409090909090909,0.5692307692307692,0.9427168576104746,0.6788990825688073,0.6406105972488199
0.9085872576177285,0.42424242424242425,0.5,0.9500756429652042,0.4590163934426229,0.41110714745916727
0.8919667590027701,0.9807692307692307,0.5730337078651685,0.9328743545611015,0.7234042553191489,0.6988490663314367
0.814404432132964,0.9166666666666666,0.3402061855670103,0.8862478777589134,0.4962406015037594,0.4865000686783809
