accuracy,precision,recall,f1 normal,f1 target,mcc
0.002770083102493075,1.0,0.002770083102493075,0.0,0.0055248618784530384,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.7506925207756233,0.0,0.0,0.8575949367088608,0.0,0.0
0.8833333333333333,0.4,0.04878048780487805,0.9376854599406529,0.08695652173913045,0.10688598909862425
0.9501385041551247,0.0,0.0,0.9744318181818182,0.0,0.0
0.8805555555555555,0.3333333333333333,0.023809523809523808,0.9362962962962963,0.044444444444444446,0.06187039900347146
0.8222222222222222,1.0,0.015384615384615385,0.9021406727828747,0.030303030303030307,0.11243644491948517
0.9196675900277008,0.0,0.0,0.9581529581529582,0.0,-0.015282895675675041
0.7562326869806094,0.6666666666666666,0.02247191011235955,0.8603174603174604,0.043478260869565216,0.08923388484401157
0.7340720221606648,0.6666666666666666,0.020618556701030927,0.8456591639871383,0.04,0.08218400450472442
