accuracy,precision,recall,f1 normal,f1 target,mcc
0.013850415512465374,1.0,0.013850415512465374,0.0,0.027322404371584695,0.0
0.01662049861495845,1.0,0.01662049861495845,0.0,0.0326975476839237,0.0
0.9916897506925207,1.0,0.9666666666666667,0.9944954128440366,0.983050847457627,0.977794827691795
0.9805555555555555,0.9473684210526315,0.8780487804878049,0.9890795631825273,0.9113924050632912,0.9013096742738349
0.9861495844875346,0.9333333333333333,0.7777777777777778,0.9927431059506531,0.8484848484848485,0.8451312865623835
0.9444444444444444,0.9583333333333334,0.5476190476190477,0.9694189602446482,0.696969696969697,0.7007133721291691
0.9083333333333333,0.9444444444444444,0.5230769230769231,0.9466882067851374,0.6732673267326732,0.6619782992846089
0.9335180055401662,0.6,0.42857142857142855,0.9643916913946586,0.5,0.47301875895929485
0.8781163434903048,0.9787234042553191,0.5168539325842697,0.9249146757679181,0.676470588235294,0.6572540590325019
0.8116343490304709,0.967741935483871,0.30927835051546393,0.8855218855218856,0.46875,0.48333437425224807
