accuracy,precision,recall,f1 normal,f1 target,mcc
0.036011080332409975,1.0,0.036011080332409975,0.0,0.06951871657754011,0.0
0.024930747922437674,1.0,0.024930747922437674,0.0,0.04864864864864865,0.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9861111111111112,1.0,0.8780487804878049,0.9922239502332815,0.9350649350649352,0.9297841926955146
0.9861495844875346,0.9333333333333333,0.7777777777777778,0.9927431059506531,0.8484848484848485,0.8451312865623835
0.925,0.7586206896551724,0.5238095238095238,0.958397534668721,0.6197183098591549,0.5919066543957187
0.9111111111111111,0.9714285714285714,0.5230769230769231,0.9483870967741935,0.68,0.6747360494879796
0.9113573407202216,0.4230769230769231,0.39285714285714285,0.9520958083832336,0.4074074074074074,0.35986262100090827
0.889196675900277,0.9803921568627451,0.5617977528089888,0.9312714776632302,0.7142857142857143,0.690624695172109
0.8227146814404432,1.0,0.3402061855670103,0.8918918918918919,0.5076923076923077,0.5232824197526875
