accuracy,precision,recall,f1 normal,f1 target,mcc
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.7506925207756233,0.0,0.0,0.8575949367088608,0.0,0.0
0.8861111111111111,0.0,0.0,0.9396170839469808,0.0,0.0
0.9501385041551247,0.0,0.0,0.9744318181818182,0.0,0.0
0.8833333333333333,0.0,0.0,0.9380530973451328,0.0,0.0
0.8194444444444444,0.0,0.0,0.9007633587786259,0.0,0.0
0.9224376731301939,0.0,0.0,0.9596541786743517,0.0,0.0
0.7534626038781164,0.0,0.0,0.8593996840442338,0.0,0.0
0.7285318559556787,0.0,0.0,0.842948717948718,0.0,-0.03194718916623019
