accuracy,precision,recall,f1 normal,f1 target,mcc
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9805555555555555,0.9473684210526315,0.8780487804878049,0.9890795631825273,0.9113924050632912,0.9013096742738349
0.9695290858725761,0.64,0.8888888888888888,0.98379970544919,0.7441860465116279,0.739568161568209
0.9361111111111111,0.9523809523809523,0.47619047619047616,0.964992389649924,0.634920634920635,0.6479357156973494
0.9027777777777778,0.9411764705882353,0.49230769230769234,0.9436392914653784,0.6464646464646465,0.638607090327932
0.9445983379501385,1.0,0.2857142857142857,0.9708454810495627,0.4444444444444445,0.5191594239603547
0.8808864265927978,1.0,0.5168539325842697,0.9267461669505963,0.6814814814814816,0.6680563365249812
0.7977839335180056,0.9,0.27835051546391754,0.8773109243697479,0.42519685039370075,0.42874900490298434
