accuracy,precision,recall,f1 normal,f1 target,mcc
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9833333333333333,0.972972972972973,0.8780487804878049,0.9906542056074766,0.923076923076923,0.9152726917281109
0.9778393351800554,0.7272727272727273,0.8888888888888888,0.9882697947214076,0.7999999999999999,0.7928440541245556
0.9361111111111111,0.9523809523809523,0.47619047619047616,0.964992389649924,0.634920634920635,0.6479357156973494
0.9055555555555556,0.9696969696969697,0.49230769230769234,0.9453376205787781,0.653061224489796,0.6517375501998008
0.9445983379501385,1.0,0.2857142857142857,0.9708454810495627,0.4444444444444445,0.5191594239603547
0.8753462603878116,1.0,0.4943820224719101,0.9235993208828522,0.6616541353383459,0.6513076148696975
0.8033240997229917,0.9642857142857143,0.27835051546391754,0.88107202680067,0.432,0.4550175366420325
