accuracy,precision,recall,f1 normal,f1 target,mcc
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9861111111111112,1.0,0.8780487804878049,0.9922239502332815,0.9350649350649352,0.9297841926955146
0.9778393351800554,0.7272727272727273,0.8888888888888888,0.9882697947214076,0.7999999999999999,0.7928440541245556
0.9388888888888889,1.0,0.47619047619047616,0.9665653495440729,0.6451612903225806,0.6673665793703669
0.9055555555555556,0.9696969696969697,0.49230769230769234,0.9453376205787781,0.653061224489796,0.6517375501998008
0.9445983379501385,1.0,0.2857142857142857,0.9708454810495627,0.4444444444444445,0.5191594239603547
0.8753462603878116,1.0,0.4943820224719101,0.9235993208828522,0.6616541353383459,0.6513076148696975
0.8033240997229917,0.9642857142857143,0.27835051546391754,0.88107202680067,0.432,0.4550175366420325
