accuracy,precision,recall,f1 normal,f1 target,mcc
0.008310249307479225,1.0,0.008310249307479225,0.0,0.016483516483516487,0.0
0.002770083102493075,1.0,0.002770083102493075,0.0,0.0055248618784530384,0.0
0.7617728531855956,1.0,0.044444444444444446,0.8630573248407644,0.0851063829787234,0.1836789035798411
0.9333333333333333,1.0,0.4146341463414634,0.9637462235649548,0.5862068965517241,0.6209845767461846
0.9501385041551247,0.5,0.05555555555555555,0.9743589743589743,0.09999999999999999,0.15436108632579698
0.8888888888888888,0.5833333333333334,0.16666666666666666,0.93993993993994,0.25925925925925924,0.26994300465927296
0.8555555555555555,0.76,0.2923076923076923,0.9174603174603174,0.4222222222222222,0.4115231001331729
0.9224376731301939,0.5,0.10714285714285714,0.9593023255813954,0.17647058823529413,0.20531948200621628
0.8365650969529086,0.96875,0.34831460674157305,0.9018302828618969,0.5123966942148761,0.5226005351432393
0.7673130193905817,0.8095238095238095,0.17525773195876287,0.8609271523178808,0.28813559322033894,0.30321237366700277
